Curso,Campus,Funcional,Codigo da Disciplina,Nome da Disciplina,Turmas (mae/filhas),Alunos cientes das notas,Data da revisao,Notas lancadas no prazo,N matriculados,N realizaram NP1,N realizaram NP2,N realizaram SUB,N realizaram EXAME,N com MS abaixo de 7,N compareceram revisao,N notas alteradas na revisao,Professor parceiro (se houver),Ocorrencias
Engenharia da Computacao,Sao Jose dos Campos,,967Y,ELETRONICA PARA COMPUTACAO,CP4P48,Sim,__/__/2026,Sim,5,5,2,,2,5,,,,Nada digno de nota
Engenharia da Computacao,Sao Jose dos Campos,,D37B,COMPUTACAO NUMERICA,CP4P48,Sim,__/__/2026,Sim,5,3,0,,3,2,,,,Nada digno de nota
