Curso,Campus,Funcional,Codigo da Disciplina,Nome da Disciplina,Turmas (mae/filhas),Alunos cientes das notas,Data da revisao,Notas lancadas no prazo,N matriculados,N realizaram NP1,N realizaram NP2,N realizaram SUB,N realizaram EXAME,N com MS abaixo de 7,N compareceram revisao,N notas alteradas na revisao,Professor parceiro (se houver),Ocorrencias
Engenharia Ciclo Basico,Sao Jose dos Campos,,D194,METOD DO TRABALHO ACADEMICO,EB2P48/EB2Q48,Sim,__/__/2026,Sim,27,27,27,,3,3,,,,Nada digno de nota
Engenharia Ciclo Basico,Sao Jose dos Campos,,D267,HOMEM E SOCIEDADE,EB2P48/EB2Q48,Sim,__/__/2026,Sim,27,27,27,,4,4,,,,Nada digno de nota
Engenharia Ciclo Basico,Sao Jose dos Campos,,D64G,REL ETNICO-RAC AFRODESCENDEN,EB2P48/EB2Q48,Sim,__/__/2026,Sim,27,27,27,,3,3,,,,Nada digno de nota
Engenharia Ciclo Basico,Sao Jose dos Campos,,D97G,ECONOMIA E ADMINISTRACAO,EB2P48/EB2Q48,Sim,__/__/2026,Sim,26,26,26,,6,6,,,,Nada digno de nota
