Curso,Campus,Funcional,Codigo da Disciplina,Nome da Disciplina,Turmas (mae/filhas),Alunos cientes das notas,Data da revisao,Notas lancadas no prazo,N matriculados,N realizaram NP1,N realizaram NP2,N realizaram SUB,N realizaram EXAME,N com MS abaixo de 7,N compareceram revisao,N notas alteradas na revisao,Professor parceiro (se houver),Ocorrencias
Engenharia Ciclo Basico,Sao Jose dos Campos,,D194,METOD DO TRABALHO ACADEMICO,EB3P48/EB3Q48/EB3R48/EB3S48,Sim,__/__/2026,Sim,111,107,105,,2,7,,,,Nada digno de nota
Engenharia Ciclo Basico,Sao Jose dos Campos,,D267,HOMEM E SOCIEDADE,EB3P48/EB3Q48/EB3R48/EB3S48,Sim,__/__/2026,Sim,110,108,106,,2,6,,,,Nada digno de nota
Engenharia Ciclo Basico,Sao Jose dos Campos,,D64G,REL ETNICO-RAC AFRODESCENDEN,EB3P48/EB3Q48/EB3R48/EB3S48,Sim,__/__/2026,Sim,113,110,107,,4,9,,,,Nada digno de nota
Engenharia Ciclo Basico,Sao Jose dos Campos,,D97G,ECONOMIA E ADMINISTRACAO,EB3P48/EB3Q48/EB3R48/EB3S48,Sim,__/__/2026,Sim,111,106,104,,22,33,,,,Nada digno de nota
